gene	length	CF1	CF2	CH1	CH2
ENSGALG00000015399	3907	137	142	120	135
ENSGALG00000015425	2333	61	56	86	101
ENSGALG00000015428	4662	252	314	233	228
ENSGALG00000027334	4492	918	927	892	846
ENSGALG00000015433	14378	286	246	255	245
ENSGALG00000015442	1614	66	60	64	59
ENSGALG00000015443	1621	329	306	285	271
ENSGALG00000023114	1100	0	1	0	0
ENSGALG00000027472	5857	580	660	629	583
ENSGALG00000025693	165	0	0	0	0
ENSGALG00000028476	158	0	0	0	0
ENSGALG00000015451	9267	3682	3938	3104	3014
ENSGALG00000025769	102	0	0	0	0
ENSGALG00000015540	3485	4972	5050	5003	4792
ENSGALG00000026928	2978	43	53	89	71
ENSGALG00000028954	1021	0	0	0	0
ENSGALG00000014691	1914	1767	1910	1672	1679
ENSGALG00000014692	1964	3382	3284	3372	3336
ENSGALG00000028673	3937	67	67	60	60
ENSGALG00000028135	2767	143	157	121	168
ENSGALG00000014703	5488	1353	1411	1410	1362
ENSGALG00000029034	893	0	0	0	0
ENSGALG00000014690	3480	904	999	867	861
ENSGALG00000014684	5685	212	203	235	223
ENSGALG00000014681	5552	35	21	19	20
ENSGALG00000014678	3273	162	184	160	146
ENSGALG00000027483	4207	7	6	6	8
ENSGALG00000014675	1830	9	8	12	9
ENSGALG00000014673	1767	16	17	11	13
ENSGALG00000014672	3307	238	212	239	199
ENSGALG00000014669	1678	0	0	0	0
ENSGALG00000027907	1260	658	837	431	573
ENSGALG00000025113	68	2	6	2	2
ENSGALG00000027154	1246	91	126	65	111
ENSGALG00000027779	188	0	0	0	0
ENSGALG00000028995	1060	0	0	0	0
ENSGALG00000025915	5885	345	477	372	404
ENSGALG00000014651	3190	828	917	784	774
ENSGALG00000014650	658	3	8	10	8
ENSGALG00000014649	4818	236	253	268	239
ENSGALG00000014648	533	438	439	416	411
ENSGALG00000023094	726	1	5	0	0
ENSGALG00000018346	88	0	0	0	0
ENSGALG00000028914	860	0	2	2	2
ENSGALG00000027286	845	0	1	4	1
ENSGALG00000026667	970	0	2	7	1
ENSGALG00000026993	885	0	1	9	2
ENSGALG00000015641	2210	1247	1266	1167	1191
ENSGALG00000017706	3988	1800	1938	1836	1698
ENSGALG00000027804	1021	0	0	0	0
ENSGALG00000027963	1517	2595	2678	2668	2407
ENSGALG00000027728	63	7	7	15	14
ENSGALG00000025595	64	5	6	3	2
ENSGALG00000025396	91	0	0	1	2
ENSGALG00000027332	1417	1048	1069	1064	1037
ENSGALG00000015617	525	13501	14993	13356	13466
ENSGALG00000027714	3677	403	453	403	411
ENSGALG00000015616	3178	7	5	4	4
ENSGALG00000015603	2356	546	525	541	464
ENSGALG00000015602	2173	13	15	13	17
ENSGALG00000026757	2177	1718	1771	1712	1659
ENSGALG00000015578	1549	4	7	8	5
ENSGALG00000015577	943	274	336	285	324
ENSGALG00000015572	1566	60	78	76	76
ENSGALG00000020534	3020	1371	1463	1270	1318
ENSGALG00000015571	4177	653	644	646	631
ENSGALG00000026461	2392	14	18	25	18
ENSGALG00000026946	874	0	0	1	0
ENSGALG00000025277	121	0	0	0	0
ENSGALG00000015555	1485	0	0	0	0
ENSGALG00000015548	3818	2818	2892	2789	2829
ENSGALG00000015545	1189	82	111	78	62
ENSGALG00000015544	4877	15	24	14	18
ENSGALG00000015543	635	413	488	404	402
ENSGALG00000028000	1907	0	0	1	0
ENSGALG00000028441	1435	0	0	0	0
ENSGALG00000026851	1254	0	0	0	0
ENSGALG00000015655	1887	228	194	161	125
ENSGALG00000015656	5481	2006	2014	2380	2300
ENSGALG00000027345	1387	18	18	12	13
ENSGALG00000015660	1694	273	276	290	276
ENSGALG00000020528	1122	1107	1193	1209	1197
ENSGALG00000015663	2259	2404	2629	2498	2397
ENSGALG00000028920	144	0	1	0	0
ENSGALG00000028461	115	0	0	0	0
ENSGALG00000027014	917	1	1	0	1
ENSGALG00000015743	1434	0	0	0	0
ENSGALG00000015677	2615	160	184	131	140
ENSGALG00000015682	4003	476	520	394	412
ENSGALG00000015683	1121	228	248	276	254
ENSGALG00000015684	1713	609	596	619	490
ENSGALG00000015689	7002	1849	2109	1937	1940
ENSGALG00000025219	79	0	0	0	0
ENSGALG00000015691	4154	16531	16458	16708	14974
ENSGALG00000015704	627	5276	5425	5288	5073
ENSGALG00000015729	1965	2768	2805	2707	2526
ENSGALG00000015753	2655	2	3	4	2
ENSGALG00000015754	709	6	4	17	15
ENSGALG00000020523	2888	489	478	467	423
ENSGALG00000015799	3834	48	40	51	44
ENSGALG00000029096	1548	0	0	0	0
ENSGALG00000028488	2302	1	1	2	0
ENSGALG00000017510	553	71	83	57	76
ENSGALG00000021457	630	0	2	0	0
ENSGALG00000014707	2124	0	0	0	1
ENSGALG00000001765	1080	462	461	469	490
ENSGALG00000001782	3753	1764	1742	1761	1739
ENSGALG00000001801	4589	809	811	791	788
ENSGALG00000026339	1244	1	0	0	0
ENSGALG00000001856	430	43	44	56	60
ENSGALG00000001869	1822	6	8	5	12
ENSGALG00000001871	2230	0	0	0	0
ENSGALG00000026501	698	62	38	158	26
ENSGALG00000021452	764	0	0	0	0
ENSGALG00000001933	1580	16	18	10	6
ENSGALG00000001944	6912	187	275	206	189
ENSGALG00000001954	1067	592	637	585	569
ENSGALG00000023066	1298	3883	3992	3973	3845
ENSGALG00000025667	129	1	0	4	1
ENSGALG00000002014	3005	4018	4069	3909	3840
ENSGALG00000002022	2293	746	839	916	809
ENSGALG00000021842	478	5	7	4	7
ENSGALG00000023061	773	2	5	1	1
ENSGALG00000026252	874	8	4	4	6
ENSGALG00000026785	1012	2	1	2	2
ENSGALG00000028998	1403	2089	1965	2256	2008
ENSGALG00000026107	73	15	29	30	32
ENSGALG00000025225	99	3	6	5	6
ENSGALG00000002087	4069	4615	4903	4441	4531
ENSGALG00000025685	90	1	1	1	1
ENSGALG00000002110	1410	210	171	180	177
ENSGALG00000002125	1133	215	248	198	223
ENSGALG00000002142	2738	122	126	104	101
ENSGALG00000002162	3403	1942	1999	1901	1775
ENSGALG00000021429	583	3	2	1	4
ENSGALG00000002187	3086	1457	1561	1472	1533
ENSGALG00000025413	309	0	0	0	0
ENSGALG00000027761	4421	395	374	385	356
ENSGALG00000002227	9581	582	564	662	538
ENSGALG00000002250	5978	301	345	342	305
ENSGALG00000026519	87	0	0	0	0
ENSGALG00000024460	1107	0	0	0	0
ENSGALG00000002318	5247	4	4	3	4
ENSGALG00000002345	1422	450	542	449	453
ENSGALG00000002358	620	120	93	137	109
ENSGALG00000028484	2556	2335	2332	2174	2252
ENSGALG00000027140	5992	327	310	303	308
ENSGALG00000002399	1634	712	762	705	675
ENSGALG00000002430	1556	2140	2297	2085	2079
ENSGALG00000021397	1254	4772	4957	4663	4212
ENSGALG00000002505	478	127	101	96	95
ENSGALG00000002529	2097	875	878	889	855
ENSGALG00000002611	3616	0	0	0	2
ENSGALG00000028445	4785	0	0	0	0
ENSGALG00000026777	1138	0	0	0	0
ENSGALG00000022059	1521	3	0	1	2
ENSGALG00000026755	1281	2	1	1	2
ENSGALG00000025716	3451	1	0	2	3
ENSGALG00000027162	1517	0	1	2	0
ENSGALG00000021985	1657	4	2	2	1
ENSGALG00000027766	2823	6	2	2	2
ENSGALG00000028123	1140	2	0	3	1
ENSGALG00000021994	1524	2	4	3	3
ENSGALG00000022155	587	2	1	0	0
ENSGALG00000026839	1278	1	2	1	4
ENSGALG00000025986	1157	2	0	2	5
ENSGALG00000022253	809	1	3	1	8
ENSGALG00000026418	1505	4	1	4	4
ENSGALG00000023047	808	2	0	0	0
ENSGALG00000023046	2599	0	1	1	2
ENSGALG00000026520	1175	2	0	0	2
ENSGALG00000028413	7351	0	0	0	0
ENSGALG00000018339	95	0	0	0	0
ENSGALG00000008174	1667	1799	1839	1708	1688
ENSGALG00000025805	181	0	0	0	1
ENSGALG00000026137	1900	0	0	1	0
ENSGALG00000008188	2494	49	59	50	56
ENSGALG00000023042	1309	66	73	53	77
ENSGALG00000024749	182	0	2	0	0
ENSGALG00000008204	2044	192	180	151	163
ENSGALG00000008229	2080	4093	4219	4013	3866
ENSGALG00000008237	3897	398	424	423	411
ENSGALG00000005016	4687	600	677	740	679
ENSGALG00000002567	3441	0	0	0	0
ENSGALG00000026886	1152	2	1	2	0
ENSGALG00000022133	1513	6	2	1	1
ENSGALG00000028127	1111	0	1	2	0
ENSGALG00000028063	5116	64	38	40	38
ENSGALG00000005330	5636	511	505	451	419
ENSGALG00000028730	154	0	0	0	0
ENSGALG00000005337	1838	1698	1903	1613	1585
ENSGALG00000005346	1550	416	431	489	557
ENSGALG00000005368	4442	521	594	575	542
ENSGALG00000026300	720	1730	1904	1811	1790
ENSGALG00000029118	1361	427	466	421	398
ENSGALG00000017558	811	111	155	118	109
ENSGALG00000005390	2012	687	712	711	695
ENSGALG00000028340	997	298	306	291	304
ENSGALG00000005395	1537	1405	1499	1380	1393
ENSGALG00000005354	2165	497	549	537	471
ENSGALG00000005423	1181	71	114	95	113
ENSGALG00000005433	1002	230	262	257	222
ENSGALG00000028675	647	176	158	162	188
ENSGALG00000016438	3330	2030	2029	2070	1874
ENSGALG00000027775	1659	967	989	955	848
ENSGALG00000001449	2599	845	995	517	611
ENSGALG00000003883	2597	942	942	931	754
ENSGALG00000004150	3513	340	323	356	360
ENSGALG00000004361	12830	1243	1428	761	802
ENSGALG00000006725	12939	63	102	46	63
ENSGALG00000007631	3297	64	53	40	42
ENSGALG00000002480	5325	94	116	119	131
ENSGALG00000002340	5661	4072	4366	3993	4328
ENSGALG00000002279	3048	988	1093	990	1030
ENSGALG00000002078	10039	1048	1140	1071	995
ENSGALG00000001901	1136	1801	1857	1804	1728
ENSGALG00000001774	7440	3117	3236	3098	2979
ENSGALG00000001764	4452	4	7	8	8
ENSGALG00000001741	1203	959	898	964	952
ENSGALG00000028247	1055	388	382	488	462
ENSGALG00000001337	2361	861	857	812	870
ENSGALG00000002746	4077	1938	1978	1897	1842
ENSGALG00000002774	1793	3119	3041	2916	2838
ENSGALG00000002883	6182	572	577	566	504
ENSGALG00000002925	3664	2232	2314	2262	2227
ENSGALG00000002945	6100	600	647	598	542
ENSGALG00000002989	2109	1132	1160	1116	1109
ENSGALG00000003521	3891	2402	2411	2623	2740
ENSGALG00000003628	9737	3142	3190	3188	2931
ENSGALG00000003770	1381	1515	1571	1664	1887
ENSGALG00000003930	2768	1478	1594	1487	1429
ENSGALG00000004059	2206	96	91	98	73
ENSGALG00000004087	3174	253	203	317	235
ENSGALG00000004096	5228	31	21	87	50
ENSGALG00000004204	3365	878	856	912	825
ENSGALG00000004212	5581	2065	2089	1930	1904
ENSGALG00000004304	6488	34419	34455	30165	28910
ENSGALG00000004399	3105	420	437	379	379
ENSGALG00000004421	4732	526	501	546	445
ENSGALG00000004527	8856	40	23	35	22
ENSGALG00000004545	3451	3	0	11	2
ENSGALG00000004624	6961	1806	2000	1932	1760
ENSGALG00000004710	1805	1360	1221	1304	1191
ENSGALG00000004788	957	18	11	14	23
ENSGALG00000004805	10432	430	427	457	399
ENSGALG00000021295	635	0	0	0	0
ENSGALG00000004905	7172	3104	3212	3112	2992
ENSGALG00000004960	11550	1235	1465	1378	1317
ENSGALG00000013789	3703	496	511	476	456
ENSGALG00000006008	1068	1048	1192	1244	1247
ENSGALG00000006036	3554	2277	2134	2031	1864
ENSGALG00000006104	6331	229	228	94	97
ENSGALG00000021171	3856	14	11	15	7
ENSGALG00000006445	7277	1903	1904	2059	1724
ENSGALG00000006611	4242	1066	1241	1059	1114
ENSGALG00000006658	4057	1299	1454	1354	1267
ENSGALG00000006793	2768	2	3	3	5
ENSGALG00000006819	5899	0	4	2	3
ENSGALG00000006871	6298	360	404	313	365
ENSGALG00000006981	6067	148	126	134	125
ENSGALG00000021875	446	0	2	0	0
ENSGALG00000007039	4595	1038	1068	1062	907
ENSGALG00000007069	4025	877	813	679	630
ENSGALG00000007248	1539	189	186	161	179
ENSGALG00000007410	9109	2523	2670	2095	2145
ENSGALG00000007649	1437	1062	1051	1042	1011
ENSGALG00000007930	4287	1153	1190	1122	1121
ENSGALG00000007970	1945	419	466	420	431
ENSGALG00000008054	1241	3846	3743	3670	3554
ENSGALG00000008199	3576	2264	2168	2202	2017
ENSGALG00000008297	3121	894	1035	799	1013
ENSGALG00000008385	5068	229	236	244	249
ENSGALG00000027405	762	0	2	0	0
ENSGALG00000001269	4756	0	0	0	0
ENSGALG00000002574	972	76	103	73	76
ENSGALG00000026806	93	0	0	0	0
ENSGALG00000013318	725	1	0	0	1
ENSGALG00000029029	790	2	1	0	0
ENSGALG00000025885	973	3	2	0	3
ENSGALG00000002560	931	0	1	0	0
ENSGALG00000013975	967	0	0	0	0
ENSGALG00000027094	976	4	5	3	5
ENSGALG00000002547	992	0	0	0	0
ENSGALG00000002541	481	148	144	159	161
ENSGALG00000002538	1307	238	281	242	260
ENSGALG00000025496	61	0	1	1	0
ENSGALG00000002522	6885	39	48	52	39
ENSGALG00000027637	841	70	71	71	90
ENSGALG00000002475	696	85	82	73	99
ENSGALG00000027852	230	2	3	1	4
ENSGALG00000002471	5357	953	992	958	957
ENSGALG00000002462	1009	1849	1840	1693	1683
ENSGALG00000024447	651	60	93	74	85
ENSGALG00000002454	990	0	0	0	2
ENSGALG00000002449	975	0	0	1	1
ENSGALG00000002435	4666	2	3	1	4
ENSGALG00000002317	3423	603	720	650	654
ENSGALG00000002355	2088	88	81	91	123
ENSGALG00000027225	163	0	0	0	0
ENSGALG00000002352	1331	1659	1651	1676	1587
ENSGALG00000021491	3061	523	583	497	553
ENSGALG00000027464	111	0	0	0	0
ENSGALG00000002210	692	3940	4071	3847	4234
ENSGALG00000002206	1084	11	12	9	11
ENSGALG00000002189	1847	2572	2663	2528	2620
ENSGALG00000002167	2588	92	105	108	86
ENSGALG00000002160	428	104	111	102	115
ENSGALG00000025720	1533	0	0	0	0
ENSGALG00000002157	295	3802	4479	3926	4019
ENSGALG00000017819	133	22	28	20	16
ENSGALG00000002150	4557	79	66	80	76
ENSGALG00000002136	3831	462	518	435	469
ENSGALG00000025395	72	0	0	0	0
ENSGALG00000002102	860	0	0	0	1
ENSGALG00000002097	877	0	4	2	3
ENSGALG00000002093	1664	0	0	0	0
ENSGALG00000027050	1613	377	389	370	352
ENSGALG00000002000	1334	127	151	164	145
ENSGALG00000028738	111	0	0	0	0
ENSGALG00000001981	2666	477	566	465	509
ENSGALG00000001992	4914	29850	32490	30831	32316
ENSGALG00000001966	2557	241	255	201	221
ENSGALG00000001937	2733	672	689	719	706
ENSGALG00000001798	2019	493	556	477	510
ENSGALG00000001788	2287	684	779	680	703
ENSGALG00000025239	97	0	0	0	0
ENSGALG00000001744	898	66	73	75	65
ENSGALG00000001729	5092	1862	2010	1839	1887
ENSGALG00000001721	1255	0	0	0	0
ENSGALG00000001716	1491	16	13	18	18
ENSGALG00000021517	462	0	0	0	0
ENSGALG00000014107	1425	1	5	1	5
ENSGALG00000027805	1207	81	85	91	81
ENSGALG00000001711	758	107	116	114	125
ENSGALG00000014116	2735	1340	1445	1310	1379
ENSGALG00000028888	111	0	0	0	1
ENSGALG00000023859	804	0	2	0	0
ENSGALG00000014121	639	3019	3231	2949	3092
ENSGALG00000001700	1973	1373	1539	1300	1439
ENSGALG00000025586	65	0	0	0	0
ENSGALG00000001689	1519	806	900	773	869
ENSGALG00000023857	2287	370	468	404	458
ENSGALG00000026446	477	9	6	6	1
ENSGALG00000001318	6478	1828	2141	1949	1878
ENSGALG00000028859	1099	0	1	3	0
ENSGALG00000001320	1838	0	0	1	2
ENSGALG00000001325	2069	0	0	0	0
ENSGALG00000001362	1684	454	501	444	488
ENSGALG00000001376	1873	1012	1103	1064	1143
ENSGALG00000001381	1538	6794	7135	6715	6672
ENSGALG00000028375	85	0	0	0	0
ENSGALG00000001394	1873	558	604	565	589
ENSGALG00000029026	111	0	0	0	0
ENSGALG00000001412	3755	255	335	288	341
ENSGALG00000025577	99	0	0	0	0
ENSGALG00000001417	3796	1	1	9	2
ENSGALG00000028855	5447	2	3	0	1
ENSGALG00000021525	1270	212	243	180	208
ENSGALG00000029151	2101	64	74	28	54
ENSGALG00000001398	6192	181	253	191	221
ENSGALG00000001470	1822	182	178	166	172
ENSGALG00000001478	2312	87	120	91	103
ENSGALG00000001552	1372	0	2	3	4
ENSGALG00000001559	1386	27	27	23	28
ENSGALG00000001572	763	667	812	688	794
ENSGALG00000001586	1326	176	208	210	212
ENSGALG00000001615	3523	686	770	701	768
ENSGALG00000001644	3877	2366	2411	2368	2160
ENSGALG00000001664	2026	579	593	574	550
ENSGALG00000028836	3217	559	633	539	632
ENSGALG00000026164	109	4	3	3	4
ENSGALG00000028086	5426	685	695	633	703
ENSGALG00000002678	7820	65	64	86	72
ENSGALG00000002708	1861	92	98	127	123
ENSGALG00000002752	831	8	4	7	2
ENSGALG00000002759	5251	648	650	680	657
ENSGALG00000002786	1381	5	5	12	7
ENSGALG00000002844	2369	2618	2597	2423	2376
ENSGALG00000002952	1769	292	307	310	254
ENSGALG00000028035	996	813	871	775	794
ENSGALG00000003005	3173	2	0	0	1
ENSGALG00000003014	3000	8	15	16	11
ENSGALG00000003021	1310	129	120	148	124
ENSGALG00000003046	933	3758	3892	3737	3775
ENSGALG00000003063	1211	50	80	60	62
ENSGALG00000003171	3290	4242	4403	4273	4040
ENSGALG00000003193	826	8745	9222	4317	3989
ENSGALG00000003221	2398	2163	2188	2159	1977
ENSGALG00000003251	2146	2689	2603	2568	2470
ENSGALG00000003286	2269	74	65	83	66
ENSGALG00000003303	2890	1016	1071	993	996
ENSGALG00000026674	5987	161	136	157	146
ENSGALG00000003322	4141	959	893	967	870
ENSGALG00000003336	1531	50	60	52	53
ENSGALG00000003381	14715	2343	2654	2689	2331
ENSGALG00000003401	713	14	22	14	10
ENSGALG00000003427	1486	1736	1688	1657	1631
ENSGALG00000003456	2097	17	16	9	7
ENSGALG00000003487	695	406	435	389	428
ENSGALG00000003505	1862	510	460	447	468
ENSGALG00000018256	86	0	0	0	0
ENSGALG00000003644	1448	32	45	45	58
ENSGALG00000003705	12883	638	755	692	586
ENSGALG00000027216	168	0	0	0	0
ENSGALG00000025421	106	0	0	0	0
ENSGALG00000003759	1428	24	29	25	30
ENSGALG00000003763	4976	1097	1048	1003	920
ENSGALG00000027498	964	1	0	0	2
ENSGALG00000003788	1228	362	364	313	326
ENSGALG00000003793	655	1268	1326	1211	1184
ENSGALG00000021404	1291	1	1	4	2
ENSGALG00000003802	2813	58	58	76	78
ENSGALG00000026590	1681	2	7	11	9
ENSGALG00000003849	4771	2	2	6	0
ENSGALG00000025242	75	0	0	0	0
ENSGALG00000018257	102	0	0	0	0
ENSGALG00000003897	3170	626	719	767	618
ENSGALG00000003906	2416	2054	2145	1830	1897
ENSGALG00000003913	1767	118	112	137	129
ENSGALG00000003944	2419	419	461	426	445
ENSGALG00000003970	5603	5288	5613	5021	4784
ENSGALG00000003985	2436	1244	1282	1161	1222
ENSGALG00000026271	1503	439	452	420	377
ENSGALG00000004038	1752	579	626	561	550
ENSGALG00000004046	1880	199	239	176	177
ENSGALG00000004103	1157	10	12	13	19
ENSGALG00000027078	71	0	0	0	0
ENSGALG00000004161	2271	6731	6926	6974	6592
ENSGALG00000004171	5818	935	866	966	855
ENSGALG00000025917	1009	1	2	6	3
ENSGALG00000004192	3363	2470	2463	2311	2232
ENSGALG00000004230	1629	0	3	0	0
ENSGALG00000004261	968	0	1	1	2
ENSGALG00000004270	5462	1007	1423	876	1507
ENSGALG00000004283	3613	790	906	730	760
ENSGALG00000004294	4685	588	580	545	494
ENSGALG00000014375	6161	1795	1787	1662	1615
ENSGALG00000013893	2714	220	231	191	197
ENSGALG00000023562	5043	292	296	285	266
ENSGALG00000000725	3832	980	1129	1005	1021
ENSGALG00000004347	3974	1349	1342	1441	1268
ENSGALG00000004369	1799	968	911	897	908
ENSGALG00000004387	1820	94	116	75	97
ENSGALG00000004435	1742	622	732	617	665
ENSGALG00000027748	104	0	0	0	0
ENSGALG00000004458	635	2	0	0	0
ENSGALG00000021321	711	0	0	0	0
ENSGALG00000004564	4409	1625	1557	1609	1419
ENSGALG00000017370	748	2970	3004	2792	2638
ENSGALG00000004641	6869	61	62	50	63
ENSGALG00000004690	6629	11093	11475	10730	10121
ENSGALG00000004696	2763	1254	1359	1248	1225
ENSGALG00000004740	3310	329	324	348	292
ENSGALG00000018976	649	372	381	374	372
ENSGALG00000004766	2092	327	341	286	292
ENSGALG00000004776	5344	1370	1501	1196	1200
ENSGALG00000013294	1630	0	0	0	0
ENSGALG00000013293	1612	8	11	8	7
ENSGALG00000004844	5698	354	442	378	324
ENSGALG00000025506	90	2	2	1	1
ENSGALG00000004885	1579	219	234	210	188
ENSGALG00000026105	181	1	0	0	0
ENSGALG00000004945	3486	10	2	12	8
ENSGALG00000004954	2756	5735	5829	5393	5236
ENSGALG00000005642	6330	1197	1229	1191	1000
ENSGALG00000005011	2966	66	75	55	56
ENSGALG00000004984	3711	761	792	797	701
ENSGALG00000028428	1012	5	4	6	8
ENSGALG00000000404	1955	2660	2522	2479	2440
ENSGALG00000028158	3531	49	53	39	39
ENSGALG00000005673	1841	490	523	480	452
ENSGALG00000005682	2349	278	284	253	236
ENSGALG00000028580	1969	2	5	4	3
ENSGALG00000021910	71	0	0	0	0
ENSGALG00000005703	3500	1950	1963	1891	1687
ENSGALG00000005736	2497	401	388	380	356
ENSGALG00000005723	2351	337	445	174	181
ENSGALG00000021253	696	12012	12667	11439	11303
ENSGALG00000005758	4490	3473	3514	3526	3352
ENSGALG00000023451	16535	1550	1624	1658	1468
ENSGALG00000026117	95	0	0	0	0
ENSGALG00000005894	3437	1658	1576	1644	1490
ENSGALG00000023440	2808	1876	1901	1777	1761
ENSGALG00000023436	2101	8	14	9	7
ENSGALG00000023435	2134	148	151	123	152
ENSGALG00000005992	2492	319	311	269	266
ENSGALG00000025614	132	13	12	16	10
ENSGALG00000005996	2408	19	22	15	23
ENSGALG00000006002	3321	414	472	403	450
ENSGALG00000006010	1786	1765	1600	1889	1554
ENSGALG00000026607	2582	316	373	329	376
ENSGALG00000006020	2789	1685	1675	1600	1595
ENSGALG00000006027	1944	41	56	24	46
ENSGALG00000006041	3333	270	303	143	183
ENSGALG00000006045	1742	152	164	119	119
ENSGALG00000006083	4933	236	252	228	249
ENSGALG00000006119	2626	29	43	35	37
ENSGALG00000006225	3862	1136	1179	1027	1029
ENSGALG00000006376	3769	109	144	68	96
ENSGALG00000021193	1901	298	337	290	282
ENSGALG00000006388	4390	141	121	183	132
ENSGALG00000021183	2203	16	19	15	13
ENSGALG00000006399	1069	547	574	559	525
ENSGALG00000006403	5257	3413	3225	3268	2935
ENSGALG00000006413	4146	2	5	12	13
ENSGALG00000006420	2442	531	522	465	425
ENSGALG00000006482	2160	10	6	15	18
ENSGALG00000006505	838	588	629	576	537
ENSGALG00000006511	527	2	2	2	4
ENSGALG00000006516	1276	258	328	242	299
ENSGALG00000021157	842	2	0	0	0
ENSGALG00000006519	3539	13	27	14	20
ENSGALG00000006534	951	56	51	51	38
ENSGALG00000023395	2178	16	20	17	21
ENSGALG00000006631	5839	2460	2507	2277	2148
ENSGALG00000006635	1666	3	4	0	2
ENSGALG00000026201	74	0	0	0	0
ENSGALG00000006641	3040	674	693	534	585
ENSGALG00000006676	3437	121	121	170	152
ENSGALG00000006689	1377	197	217	235	252
ENSGALG00000006702	3229	699	772	719	771
ENSGALG00000021135	1815	456	483	382	452
ENSGALG00000006736	1867	136	143	173	156
ENSGALG00000025378	66	1	1	0	0
ENSGALG00000018258	100	0	0	0	0
ENSGALG00000027590	1306	42	42	43	30
ENSGALG00000006750	1859	238	250	234	214
ENSGALG00000006777	839	1253	1346	1226	1203
ENSGALG00000006782	1074	818	926	772	786
ENSGALG00000006826	1771	142	147	109	114
ENSGALG00000006840	3256	545	692	625	580
ENSGALG00000027704	2396	153	186	183	156
ENSGALG00000026112	984	122	126	136	122
ENSGALG00000006859	7355	62	64	46	49
ENSGALG00000006882	1762	249	284	178	137
ENSGALG00000006887	1592	595	563	544	564
ENSGALG00000006949	4238	866	913	935	831
ENSGALG00000026782	1024	10	8	13	6
ENSGALG00000025307	83	0	0	0	0
ENSGALG00000027639	4409	760	723	658	733
ENSGALG00000026915	70	0	0	0	0
ENSGALG00000028916	146	0	0	0	1
ENSGALG00000007000	1379	1533	1632	1350	1619
ENSGALG00000025164	90	0	0	1	0
ENSGALG00000027522	170	0	0	0	0
ENSGALG00000007012	4434	387	380	321	343
ENSGALG00000025279	75	0	0	0	0
ENSGALG00000007016	1246	179	198	212	169
ENSGALG00000007022	1297	29	24	18	31
ENSGALG00000026304	109	1	0	0	0
ENSGALG00000007048	5016	132	131	119	115
ENSGALG00000007057	3930	963	991	962	960
ENSGALG00000007107	602	4	1	4	3
ENSGALG00000007100	5775	1070	1096	1053	1052
ENSGALG00000025206	94	0	0	0	0
ENSGALG00000007092	920	255	247	218	227
ENSGALG00000014624	1088	64	45	32	37
ENSGALG00000007112	2686	130	136	135	120
ENSGALG00000007115	1677	161	154	165	146
ENSGALG00000021874	684	0	0	0	0
ENSGALG00000007129	4221	47	49	36	60
ENSGALG00000007141	6169	247	246	210	189
ENSGALG00000026468	1961	838	919	807	817
ENSGALG00000007162	1897	796	776	751	745
ENSGALG00000007170	954	2301	2434	2208	2133
ENSGALG00000007238	5677	229	252	249	301
ENSGALG00000023340	672	54	68	54	37
ENSGALG00000007252	1895	24	51	36	29
ENSGALG00000007262	3812	859	933	836	854
ENSGALG00000007289	6832	2118	2214	2152	2255
ENSGALG00000021027	2068	559	580	563	576
ENSGALG00000007333	1864	30	23	26	21
ENSGALG00000007335	1384	0	2	2	0
ENSGALG00000007349	1572	7	6	2	7
ENSGALG00000021024	1605	2	3	2	0
ENSGALG00000007353	1308	544	624	546	584
ENSGALG00000007358	3574	193	210	194	231
ENSGALG00000021020	1132	9	16	9	15
ENSGALG00000007365	1421	1735	1776	1803	1821
ENSGALG00000007371	2348	4252	4919	3542	4203
ENSGALG00000025233	93	4	5	2	5
ENSGALG00000007437	4135	955	1005	916	925
ENSGALG00000007481	1317	1268	1232	1118	1091
ENSGALG00000007491	5355	2228	2258	2143	2080
ENSGALG00000007495	2260	1	1	2	1
ENSGALG00000007500	5842	945	1040	992	899
ENSGALG00000007615	2299	1921	1961	1962	1862
ENSGALG00000007643	3852	769	811	781	669
ENSGALG00000025592	137	5	9	7	1
ENSGALG00000007687	1242	1282	1323	1174	1168
ENSGALG00000007695	1796	605	622	565	581
ENSGALG00000007711	1408	35778	38533	34414	34381
ENSGALG00000026961	72	3	2	2	4
ENSGALG00000017822	101	13	25	21	22
ENSGALG00000017823	73	1	1	2	3
ENSGALG00000017824	103	1	4	4	4
ENSGALG00000007736	2459	1777	1852	1787	1679
ENSGALG00000028956	123	8	11	6	8
ENSGALG00000025898	4750	533	557	453	464
ENSGALG00000007870	3598	3450	3301	3021	2891
ENSGALG00000007887	969	939	868	927	820
ENSGALG00000007909	3345	172	151	126	149
ENSGALG00000028141	478	126	128	125	130
ENSGALG00000025175	75	0	0	0	0
ENSGALG00000007979	710	252	236	261	247
ENSGALG00000007981	1127	560	573	609	573
ENSGALG00000028906	3319	1118	1157	1026	1074
ENSGALG00000028173	101	2	4	6	0
ENSGALG00000008007	7462	295	293	354	355
ENSGALG00000026032	2083	26	19	27	31
ENSGALG00000008043	5435	164	206	156	176
ENSGALG00000008063	5130	7	10	6	9
ENSGALG00000025523	69	0	0	0	0
ENSGALG00000028191	4449	1508	1626	1548	1566
ENSGALG00000008077	1016	6	7	8	9
ENSGALG00000008095	3443	3850	3947	3903	3689
ENSGALG00000008120	2711	513	564	439	396
ENSGALG00000008143	4510	1220	1235	1135	1067
